t	x	y	pressure	penup	azimuth	inclination	v_x	v_y
0.000000	48.170000	66.720000	3.000000	1.000000	161.000000	57.000000	0.000000	0.000000
0.010000	48.170000	66.720000	65.000000	1.000000	161.000000	57.000000	0.000000	0.000000
0.020000	48.170000	66.720000	51.000000	0.000000	161.000000	57.000000	0.000000	0.000000
0.030000	48.170000	66.720000	65.000000	0.000000	161.000000	57.000000	0.000000	0.000000
0.040000	48.170000	66.720000	22.000000	0.000000	161.000000	57.000000	0.000000	0.000000
0.050000	48.170000	66.720000	1.000000	1.000000	161.000000	57.000000	0.000000	0.000000
0.060000	48.170000	66.720000	1.000000	0.000000	161.000000	57.000000	0.000000	0.000000
0.070000	48.170000	66.720000	25.000000	1.000000	161.000000	57.000000	0.000000	0.000000
0.080000	48.170000	66.720000	51.000000	0.000000	161.000000	57.000000	0.000000	0.000000
0.090000	48.170000	66.720000	101.000000	0.000000	160.000000	58.000000	0.000000	0.000000
0.100000	48.170000	66.780000	120.000000	0.000000	161.000000	59.000000	0.000000	6.000000
0.110000	48.170000	66.780000	139.000000	0.000000	161.000000	59.000000	0.000000	0.000000
0.120000	48.170000	66.830000	139.000000	0.000000	161.000000	59.000000	0.000000	5.000000
0.130000	48.170000	66.830000	110.000000	0.000000	161.000000	59.000000	0.000000	0.000000
0.140000	48.170000	66.830000	44.000000	0.000000	161.000000	59.000000	0.000000	0.000000
0.150000	48.170000	66.830000	0.000000	1.000000	161.000000	59.000000	0.000000	0.000000
0.160000	48.170000	66.780000	0.000000	0.000000	161.000000	59.000000	0.000000	-5.000000
0.170000	48.170000	66.780000	0.000000	0.000000	161.000000	59.000000	0.000000	0.000000
0.180000	48.240000	66.780000	0.000000	0.000000	161.000000	59.000000	7.000000	0.000000
0.190000	48.240000	66.780000	0.000000	0.000000	161.000000	59.000000	0.000000	0.000000
0.200000	48.240000	66.780000	0.000000	0.000000	161.000000	59.000000	0.000000	0.000000
0.210000	48.240000	66.780000	0.000000	0.000000	161.000000	59.000000	0.000000	0.000000
0.220000	48.240000	66.780000	0.000000	0.000000	161.000000	59.000000	0.000000	0.000000
0.230000	48.240000	66.780000	0.000000	0.000000	161.000000	59.000000	0.000000	0.000000
0.240000	48.240000	66.710000	0.000000	0.000000	161.000000	59.000000	0.000000	-7.000000
0.250000	48.240000	66.710000	53.000000	1.000000	162.000000	58.000000	0.000000	0.000000
0.260000	48.240000	66.710000	93.000000	0.000000	162.000000	58.000000	0.000000	0.000000
0.270000	48.240000	66.710000	124.000000	0.000000	162.000000	58.000000	0.000000	0.000000
0.280000	48.240000	66.710000	168.000000	0.000000	162.000000	58.000000	0.000000	0.000000
0.290000	48.240000	66.710000	210.000000	0.000000	162.000000	58.000000	0.000000	0.000000
0.300000	48.240000	66.710000	230.000000	0.000000	162.000000	58.000000	0.000000	0.000000
