t	x	y	pressure	penup	azimuth	inclination	v_x	v_y
0.000000	17.350000	82.920000	182.000000	1.000000	150.000000	54.000000	0.000000	0.000000
0.010000	17.350000	82.920000	269.000000	0.000000	150.000000	54.000000	0.000000	0.000000
0.020000	17.350000	82.920000	335.000000	0.000000	150.000000	54.000000	0.000000	0.000000
0.030000	17.350000	82.920000	371.000000	0.000000	151.000000	54.000000	0.000000	0.000000
0.040000	17.270000	82.540000	423.000000	0.000000	151.000000	54.000000	-8.000000	-38.000000
0.050000	17.270000	82.220000	431.000000	0.000000	152.000000	54.000000	0.000000	-32.000000
0.060000	17.270000	81.850000	448.000000	0.000000	152.000000	54.000000	0.000000	-37.000000
0.070000	17.210000	81.410000	456.000000	0.000000	152.000000	54.000000	-6.000000	-44.000000
0.080000	17.110000	80.920000	466.000000	0.000000	152.000000	54.000000	-10.000000	-49.000000
0.090000	17.020000	80.550000	464.000000	0.000000	152.000000	54.000000	-9.000000	-37.000000
0.100000	16.970000	80.330000	472.000000	0.000000	151.000000	54.000000	-5.000000	-22.000000
0.110000	16.970000	80.200000	486.000000	0.000000	150.000000	54.000000	0.000000	-13.000000
0.120000	16.970000	80.200000	488.000000	0.000000	150.000000	54.000000	0.000000	0.000000
0.130000	16.970000	80.430000	491.000000	0.000000	150.000000	54.000000	0.000000	23.000000
0.140000	16.970000	80.770000	494.000000	0.000000	150.000000	54.000000	0.000000	34.000000
0.150000	16.970000	81.240000	494.000000	0.000000	148.000000	54.000000	0.000000	47.000000
0.160000	17.080000	81.720000	499.000000	0.000000	148.000000	54.000000	11.000000	48.000000
0.170000	17.200000	82.190000	499.000000	0.000000	148.000000	54.000000	12.000000	47.000000
0.180000	17.370000	82.670000	512.000000	0.000000	150.000000	54.000000	17.000000	48.000000
0.190000	17.590000	83.140000	520.000000	0.000000	150.000000	54.000000	22.000000	47.000000
0.200000	17.850000	83.410000	516.000000	0.000000	150.000000	54.000000	26.000000	27.000000
0.210000	18.120000	83.640000	515.000000	0.000000	152.000000	54.000000	27.000000	23.000000
0.220000	18.400000	83.640000	516.000000	0.000000	152.000000	54.000000	28.000000	0.000000
0.230000	18.590000	83.640000	522.000000	0.000000	153.000000	54.000000	19.000000	0.000000
0.240000	18.720000	83.370000	512.000000	0.000000	154.000000	53.000000	13.000000	-27.000000
0.250000	18.720000	83.120000	520.000000	0.000000	156.000000	53.000000	0.000000	-25.000000
0.260000	18.720000	82.840000	514.000000	0.000000	156.000000	53.000000	0.000000	-28.000000
0.270000	18.590000	82.560000	509.000000	0.000000	157.000000	54.000000	-13.000000	-28.000000
0.280000	18.330000	82.280000	493.000000	0.000000	157.000000	54.000000	-26.000000	-28.000000
0.290000	18.010000	82.080000	483.000000	0.000000	157.000000	54.000000	-32.000000	-20.000000
0.300000	17.710000	81.940000	473.000000	0.000000	157.000000	54.000000	-30.000000	-14.000000
